Ind,Group
195212,South
195213,South
195986,South
196356,South
196357,South
196360,South
196363,South
196371,South
196382,South
196388,North_A
196391,North_A
196392,North_A
196400,North_A
196402,North_A
196404,North_A
196405,North_A
196406,North_A
196413,North_A
196415,North_A
196416,North_A
196417,North_A
196564,South
196565,South
196566,South
196593,North_B
196594,North_B
199501,South
199502,South
206894,South
216804,South
217862,North_A
217863,North_A
218015,South
218022,South
218380,North_A
218381,North_A
218382,North_A
218387,North_A
219027,North_A
219159,North_A
219537,North_A
219572,North_A
219598,North_A
219681,North_A
219688,North_A
219808,North_A
219810,North_A
219811,North_A
220634,North_A
220635,North_A
220636,North_A
221485,North_B
221487,North_B
221488,North_B
221489,North_B
221490,North_B
221493,North_B
221494,North_B
221496,North_B
221614,North_B
221621,North_B
221622,North_B
221624,North_B
221625,North_B
221628,North_B
223078,North_A
225109,North_A
225235,North_A
