id,latitude,longitude,region,outgroup
NF_195212,36.27,-121.06,REGION_1,0
NF_195213,36.27,-121.06,REGION_1,0
NF_195986,37.12,-121.1,REGION_1,0
NF_196356,37.87,-122.15,REGION_1,0
NF_196357,37.86,-122.13,REGION_1,0
NF_196360,35.75,-120.77,REGION_1,0
NF_196363,35.75,-120.77,REGION_1,0
NF_196371,35.73,-120.65,REGION_1,0
NF_196382,35.61,-120.69,REGION_1,0
NF_196564,36.84,-121.48,REGION_1,0
NF_196565,36.84,-121.48,REGION_1,0
NF_196566,36.84,-121.48,REGION_1,0
NF_199501,37.7,-121.2,REGION_1,0
NF_199502,37.7,-121.2,REGION_1,0
NF_206894,37.79,-122.15,REGION_1,0
NF_216804,37.9,-122.18,REGION_1,0
NF_218015,37.89,-122.12,REGION_1,0
NF_218022,37.59,-121.9,REGION_1,0
